Group,Device,Reading,DateTime
2,9,20.5,21/3/2024 16/30
2,10,20.81,21/3/2024 16/30
2,11,21.19,21/3/2024 16/30
2,12,20.06,21/3/2024 16/30
2,13,20.62,21/3/2024 16/30
2,14,21.25,21/3/2024 16/30
2,15,21,21/3/2024 16/30
2,16,20.5,21/3/2024 16/30
2,17,21.19,21/3/2024 16/30
2,18,20.44,21/3/2024 16/30
2,19,20.81,21/3/2024 16/30
2,20,20.75,21/3/2024 16/30
2,21,20.37,21/3/2024 16/30
2,0,20.69,21/3/2024 16/34
2,1,21.19,21/3/2024 16/34
2,2,21.12,21/3/2024 16/34
2,3,21.75,21/3/2024 16/34
2,4,20.5,21/3/2024 16/34
2,5,20.44,21/3/2024 16/34
2,6,21,21/3/2024 16/34
2,7,21.06,21/3/2024 16/34
2,8,20.87,21/3/2024 16/34
2,9,20.5,21/3/2024 16/34
2,10,20.87,21/3/2024 16/34
2,11,21.12,21/3/2024 16/34
2,12,20.12,21/3/2024 16/34
2,13,20.62,21/3/2024 16/34
2,14,21.25,21/3/2024 16/34
2,15,21.06,21/3/2024 16/34
2,16,20.5,21/3/2024 16/34
2,17,21.19,21/3/2024 16/34
2,18,20.5,21/3/2024 16/34
2,19,20.75,21/3/2024 16/34
2,20,20.75,21/3/2024 16/34
2,21,20.37,21/3/2024 16/34
2,22,20.19,21/3/2024 16/34
2,0,20.75,21/3/2024 16/35
2,1,21.19,21/3/2024 16/35
2,2,21.12,21/3/2024 16/35
2,3,21.81,21/3/2024 16/35
2,4,20.5,21/3/2024 16/35
2,5,20.5,21/3/2024 16/35
2,6,21,21/3/2024 16/35
2,7,21,21/3/2024 16/35
2,8,20.87,21/3/2024 16/35
2,9,20.56,21/3/2024 16/35
2,10,20.87,21/3/2024 16/35
2,11,21.12,21/3/2024 16/35
2,12,20.06,21/3/2024 16/35
2,13,20.62,21/3/2024 16/35
2,14,21.19,21/3/2024 16/35
2,15,21.06,21/3/2024 16/35
2,16,20.5,21/3/2024 16/35
2,17,21.12,21/3/2024 16/35
2,18,20.44,21/3/2024 16/35
2,19,20.75,21/3/2024 16/35
2,20,20.75,21/3/2024 16/35
2,21,20.37,21/3/2024 16/35
2,22,20.31,21/3/2024 16/35
2,0,20.75,21/3/2024 16/36
2,1,21.19,21/3/2024 16/36
2,2,21.19,21/3/2024 16/36
2,3,21.75,21/3/2024 16/36
2,4,20.44,21/3/2024 16/36
2,5,20.5,21/3/2024 16/36
2,6,21,21/3/2024 16/36
2,7,20.94,21/3/2024 16/36
2,8,20.94,21/3/2024 16/36
2,9,20.5,21/3/2024 16/36
2,10,20.87,21/3/2024 16/36
2,11,21.12,21/3/2024 16/36
2,12,20.12,21/3/2024 16/36
2,13,20.62,21/3/2024 16/36
2,14,21.25,21/3/2024 16/36
2,15,21.06,21/3/2024 16/36
2,16,20.5,21/3/2024 16/36
2,17,21.19,21/3/2024 16/36
2,18,20.44,21/3/2024 16/36
2,19,20.81,21/3/2024 16/36
2,20,20.75,21/3/2024 16/36
2,21,20.44,21/3/2024 16/36
2,22,20.25,21/3/2024 16/36
2,0,20.75,21/3/2024 16/37
2,1,21.19,21/3/2024 16/37
2,2,21.12,21/3/2024 16/37
2,3,21.81,21/3/2024 16/37
2,4,20.44,21/3/2024 16/37
